dataset,model,n_attacks,aux_cols,n_neighbors,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-facebook,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,False,0.0,0.0,0.4093
ego-facebook,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,False,0.0,0.0,0.4093
ego-facebook,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,False,0.0,0.0,0.4093
ego-facebook,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.0,0.0,0.521
ego-facebook,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,False,0.0,0.0,0.4093
ego-facebook,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.0034,0.0,0.6263
ego-facebook,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,False,0.0,0.0,0.4093
ego-facebook,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,False,0.0034,0.0,0.6263
ego-facebook,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,False,0.0,0.0,0.521
ego-facebook,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,False,0.0034,0.0,0.6263
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,False,0.0,0.0,0.4093
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,True,0.0034,0.0,0.6263
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,False,0.0,0.0,0.4093
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.1292,0.0,0.7245
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.0,0.0,0.521
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.3809,0.0,0.8951
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.0,0.0,0.521
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.5067,0.0506,0.9628
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,False,0.0034,0.0,0.6263
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,True,0.5067,0.0506,0.9628
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,True,0.0,0.0,0.9308
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,True,0.0,0.0,0.521
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.0,0.0,0.991
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.2551,0.0,0.8147
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.1689,0.0,1.0
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.2551,0.0,0.8147
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.3378,0.0,1.0
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.5067,0.0506,0.9628
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,True,0.3378,0.0,1.0
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,True,0.7583,0.4892,1.0
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",1,True,0.2551,0.0,0.8147
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",1,True,0.0034,0.0,0.6263
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.2551,0.0,0.8147
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.2551,0.0,0.8147
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.2551,0.0,0.8147
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.2551,0.0,0.8147
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.2551,0.0,0.8147
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.3809,0.0,0.8951
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",5,True,0.3809,0.0,0.8951
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef'], ['diameter', 'n_nodes', 'radius', 'transitivity'])",5,True,0.3809,0.0,0.8951
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",1,True,0.0,0.0,0.9308
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",1,True,0.0034,0.0,0.6263
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",2,True,0.0,0.0,0.9308
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",2,True,0.2551,0.0,0.8147
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",3,True,0.0,0.0,0.9308
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",3,True,0.2551,0.0,0.8147
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",4,True,0.0,0.0,0.991
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",4,True,0.3809,0.0,0.8951
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",5,True,0.3378,0.0,1.0
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",5,True,0.3809,0.0,0.8951
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",1,True,0.0,0.0,0.7948
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",1,False,0.0,0.0,0.4093
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",2,False,0.0,0.0,1.0
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",2,False,0.0,0.0,0.4093
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",3,True,0.0,0.0,1.0
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",3,False,0.0,0.0,0.521
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",4,True,0.0,0.0,1.0
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",4,True,0.1292,0.0,0.7245
ego-facebook,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",5,True,0.0,0.0,1.0
ego-facebook,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",5,True,0.2551,0.0,0.8147
ego-twitter,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,True,0.0,0.0,0.0517
ego-twitter,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,False,0.0,0.0,0.0489
ego-twitter,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.0,0.0,0.0755
ego-twitter,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.0,0.0,0.0898
ego-twitter,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.0,0.0,0.2005
ego-twitter,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.0,0.0,0.1312
ego-twitter,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.0,0.0,0.2477
ego-twitter,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.0,0.0,0.2422
ego-twitter,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,True,0.0,0.0,0.3044
ego-twitter,grum,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,True,0.0,0.0,0.2899
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,False,0.0,0.0,0.0489
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,True,0.0,0.0,0.1039
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.0,0.0,0.1072
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.0,0.0,0.1866
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.0,0.0,0.203
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.0867,0.0,0.4152
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.0016,0.0,0.2556
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.0239,0.0,0.4703
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,True,0.0602,0.0,0.3357
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,True,0.0,0.0,0.5699
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,True,0.0,0.0,0.118
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,True,0.0,0.0,0.132
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.0,0.0,0.1762
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.0,0.0,0.1866
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.0844,0.0,0.2985
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,True,0.0,0.0,0.3289
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.0434,0.0,0.3218
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,True,0.0994,0.0,0.4858
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,True,0.0295,0.0,0.3721
